GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT
0022200588,1610612739,Cavaliers,CLE,Cleveland,240.000000:00,0.511,0.364,0.077,0.321,0.636,0.284,0.152,0.415
0022200587,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,0.648,0.358,0.193,0.263,0.485,0.27,0.096,0.361
0022200587,1610612746,Clippers,LAC,LA,240.000000:00,0.485,0.27,0.096,0.295,0.648,0.358,0.193,0.342
0022200579,1610612746,Clippers,LAC,LA,240.000000:00,0.401,0.275,0.078,0.131,0.584,0.236,0.12,0.277
0022200579,1610612743,Nuggets,DEN,Denver,240.000000:00,0.584,0.236,0.12,0.213,0.401,0.275,0.078,0.213
0022200576,1610612753,Magic,ORL,Orlando,240.000000:00,0.53,0.357,0.109,0.143,0.587,0.25,0.123,0.292
0022200576,1610612763,Grizzlies,MEM,Memphis,240.000000:00,0.587,0.25,0.123,0.188,0.53,0.357,0.109,0.184
0022200578,1610612762,Jazz,UTA,Utah,240.000000:00,0.597,0.226,0.079,0.191,0.495,0.283,0.144,0.327
0022200578,1610612745,Rockets,HOU,Houston,240.000000:00,0.495,0.283,0.144,0.255,0.597,0.226,0.079,0.213
0022200577,1610612742,Mavericks,DAL,Dallas,240.000000:00,0.417,0.278,0.109,0.19,0.583,0.369,0.112,0.244
0022200577,1610612738,Celtics,BOS,Boston,240.000000:00,0.583,0.369,0.112,0.222,0.417,0.278,0.109,0.241
0022200574,1610612748,Heat,MIA,Miami,240.000000:00,0.495,0.221,0.126,0.255,0.543,0.37,0.166,0.279
0022200574,1610612747,Lakers,LAL,Los Angeles,240.000000:00,0.543,0.37,0.166,0.209,0.495,0.221,0.126,0.345
0022200564,1610612763,Grizzlies,MEM,Memphis,240.000000:00,0.548,0.394,0.124,0.216,0.463,0.255,0.113,0.172
0022200564,1610612766,Hornets,CHA,Charlotte,240.000000:00,0.463,0.255,0.113,0.172,0.548,0.394,0.124,0.314
0022200567,1610612755,76ers,PHI,Philadelphia,265.000000:00,0.561,0.224,0.105,0.269,0.542,0.274,0.122,0.353
0022200567,1610612754,Pacers,IND,Indiana,265.000000:00,0.542,0.274,0.122,0.255,0.561,0.224,0.105,0.327
0022200569,1610612761,Raptors,TOR,Toronto,265.000000:00,0.366,0.172,0.075,0.173,0.472,0.341,0.241,0.316
0022200569,1610612749,Bucks,MIL,Milwaukee,265.000000:00,0.472,0.341,0.241,0.228,0.366,0.172,0.075,0.259
0022200573,1610612744,Warriors,GSW,Golden State,240.000000:00,0.603,0.172,0.142,0.214,0.576,0.25,0.099,0.286
0022200573,1610612765,Pistons,DET,Detroit,240.000000:00,0.576,0.25,0.099,0.224,0.603,0.172,0.142,0.238
0022200572,1610612740,Pelicans,NOP,New Orleans,240.000000:00,0.539,0.292,0.149,0.3,0.511,0.307,0.129,0.283
0022200572,1610612745,Rockets,HOU,Houston,240.000000:00,0.511,0.307,0.129,0.226,0.539,0.292,0.149,0.36
0022200575,1610612758,Kings,SAC,Sacramento,240.000000:00,0.523,0.307,0.109,0.208,0.595,0.262,0.156,0.22
0022200575,1610612737,Hawks,ATL,Atlanta,240.000000:00,0.595,0.262,0.156,0.171,0.523,0.307,0.109,0.229
0022200571,1610612757,Trail Blazers,POR,Portland,240.000000:00,0.5,0.56,0.181,0.255,0.572,0.474,0.152,0.333
0022200571,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,0.572,0.474,0.152,0.19,0.5,0.56,0.181,0.362
0022200570,1610612741,Bulls,CHI,Chicago,240.000000:00,0.58,0.358,0.162,0.154,0.527,0.231,0.104,0.118
0022200570,1610612751,Nets,BKN,Brooklyn,240.000000:00,0.527,0.231,0.104,0.098,0.58,0.358,0.162,0.205
0022200566,1610612753,Magic,ORL,Orlando,240.000000:00,0.599,0.444,0.169,0.31,0.489,0.348,0.088,0.278
0022200566,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,0.489,0.348,0.088,0.167,0.599,0.444,0.169,0.357
0022200565,1610612756,Suns,PHX,Phoenix,240.000000:00,0.457,0.222,0.156,0.154,0.461,0.299,0.158,0.196
0022200565,1610612739,Cavaliers,CLE,Cleveland,240.000000:00,0.461,0.299,0.158,0.137,0.457,0.222,0.156,0.212
0022200568,1610612759,Spurs,SAS,San Antonio,240.000000:00,0.567,0.317,0.168,0.2,0.532,0.277,0.133,0.415
0022200568,1610612752,Knicks,NYK,New York,240.000000:00,0.532,0.277,0.133,0.264,0.567,0.317,0.168,0.222
0022200561,1610612764,Wizards,WAS,Washington,240.000000:00,0.474,0.237,0.097,0.255,0.535,0.17,0.115,0.346
0022200561,1610612749,Bucks,MIL,Milwaukee,240.000000:00,0.535,0.17,0.115,0.288,0.474,0.237,0.097,0.309
0022200563,1610612762,Jazz,UTA,Utah,240.000000:00,0.506,0.33,0.153,0.235,0.587,0.209,0.172,0.238
0022200563,1610612758,Kings,SAC,Sacramento,240.000000:00,0.587,0.209,0.172,0.167,0.506,0.33,0.153,0.314
0022200562,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,0.694,0.224,0.116,0.205,0.523,0.352,0.158,0.26
0022200562,1610612738,Celtics,BOS,Boston,240.000000:00,0.523,0.352,0.158,0.22,0.694,0.224,0.116,0.341
0022200552,1610612739,Cavaliers,CLE,Cleveland,265.000000:00,0.609,0.489,0.092,0.25,0.547,0.358,0.063,0.235
0022200552,1610612741,Bulls,CHI,Chicago,265.000000:00,0.547,0.358,0.063,0.118,0.609,0.489,0.092,0.269
0022200559,1610612757,Trail Blazers,POR,Portland,240.000000:00,0.655,0.417,0.162,0.133,0.451,0.5,0.187,0.235
0022200559,1610612765,Pistons,DET,Detroit,240.000000:00,0.451,0.5,0.187,0.176,0.655,0.417,0.162,0.156
0022200551,1610612747,Lakers,LAL,Los Angeles,240.000000:00,0.538,0.323,0.134,0.167,0.511,0.312,0.125,0.193
0022200551,1610612766,Hornets,CHA,Charlotte,240.000000:00,0.511,0.312,0.125,0.14,0.538,0.323,0.134,0.222
0022200558,1610612744,Warriors,GSW,Golden State,290.000000:00,0.525,0.198,0.149,0.324,0.537,0.266,0.104,0.207
0022200558,1610612737,Hawks,ATL,Atlanta,290.000000:00,0.537,0.266,0.104,0.172,0.525,0.198,0.149,0.366
0022200550,1610612756,Suns,PHX,Phoenix,240.000000:00,0.448,0.08,0.086,0.093,0.574,0.338,0.091,0.238
0022200550,1610612752,Knicks,NYK,New York,240.000000:00,0.574,0.338,0.091,0.119,0.448,0.08,0.086,0.222
0022200556,1610612745,Rockets,HOU,Houston,240.000000:00,0.518,0.354,0.103,0.167,0.5,0.42,0.083,0.2
0022200556,1610612742,Mavericks,DAL,Dallas,240.000000:00,0.5,0.42,0.083,0.16,0.518,0.354,0.103,0.208
0022200554,1610612755,76ers,PHI,Philadelphia,240.000000:00,0.564,0.326,0.099,0.146,0.565,0.238,0.17,0.333
0022200554,1610612740,Pelicans,NOP,New Orleans,240.000000:00,0.565,0.238,0.17,0.222,0.564,0.326,0.099,0.188
0022200560,1610612748,Heat,MIA,Miami,240.000000:00,0.529,0.282,0.116,0.25,0.522,0.507,0.16,0.098
0022200560,1610612746,Clippers,LAC,LA,240.000000:00,0.522,0.507,0.16,0.073,0.529,0.282,0.116,0.292
0022200555,1610612759,Spurs,SAS,San Antonio,240.000000:00,0.474,0.186,0.167,0.25,0.683,0.161,0.123,0.216
0022200555,1610612751,Nets,BKN,Brooklyn,240.000000:00,0.683,0.161,0.123,0.189,0.474,0.186,0.167,0.317
0022200557,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,0.592,0.31,0.12,0.25,0.522,0.22,0.155,0.353
0022200557,1610612743,Nuggets,DEN,Denver,240.000000:00,0.522,0.22,0.155,0.353,0.592,0.31,0.12,0.341
0022200553,1610612761,Raptors,TOR,Toronto,240.000000:00,0.527,0.253,0.11,0.222,0.538,0.28,0.127,0.438
0022200553,1610612754,Pacers,IND,Indiana,240.000000:00,0.538,0.28,0.127,0.313,0.527,0.253,0.11,0.259
0022200549,1610612743,Nuggets,DEN,Denver,240.000000:00,0.677,0.228,0.165,0.029,0.511,0.31,0.128,0.25
0022200549,1610612738,Celtics,BOS,Boston,240.000000:00,0.511,0.31,0.128,0.208,0.677,0.228,0.165,0.114
0022200548,1610612764,Wizards,WAS,Washington,240.000000:00,0.569,0.17,0.168,0.25,0.422,0.156,0.153,0.286
0022200548,1610612749,Bucks,MIL,Milwaukee,240.000000:00,0.422,0.156,0.153,0.222,0.569,0.17,0.168,0.354
