GAME_ID,TEAM_ID,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CITY,MINUTES,PTS,CONTESTED_SHOTS,CONTESTED_SHOTS_2PT,CONTESTED_SHOTS_3PT,DEFLECTIONS,CHARGES_DRAWN,SCREEN_ASSISTS,SCREEN_AST_PTS,OFF_LOOSE_BALLS_RECOVERED,DEF_LOOSE_BALLS_RECOVERED,LOOSE_BALLS_RECOVERED,OFF_BOXOUTS,DEF_BOXOUTS,BOX_OUT_PLAYER_TEAM_REBS,BOX_OUT_PLAYER_REBS,BOX_OUTS
22201108,1610612748,Heat,MIA,Miami,240.000000:00,100,39,23,16,15,0,11,26,3,2,5,1,0,1,1,1
22201111,1610612762,Jazz,UTA,Utah,240.000000:00,113,48,35,13,13,0,8,18,5,1,6,1,6,7,5,7
22201111,1610612758,Kings,SAC,Sacramento,240.000000:00,121,48,30,18,19,1,4,8,2,4,6,2,7,9,6,9
22201110,1610612755,76ers,PHI,Philadelphia,240.000000:00,105,42,27,15,11,0,8,18,2,2,4,1,4,5,3,5
22201110,1610612756,Suns,PHX,Phoenix,240.000000:00,125,37,25,12,13,0,14,30,3,1,4,0,9,9,1,9
22201098,1610612759,Spurs,SAS,San Antonio,240.000000:00,124,40,25,15,12,0,9,18,6,3,9,1,6,6,3,7
22201098,1610612764,Wizards,WAS,Washington,240.000000:00,136,53,37,16,12,0,15,33,0,3,3,1,4,5,2,5
22201099,1610612765,Pistons,DET,Detroit,240.000000:00,97,53,32,21,11,1,3,6,3,5,8,1,8,9,3,9
22201099,1610612761,Raptors,TOR,Toronto,240.000000:00,118,34,21,13,20,0,4,10,2,4,6,2,3,4,2,5
22201105,1610612756,Suns,PHX,Phoenix,240.000000:00,127,49,30,19,7,0,6,12,2,3,5,1,3,4,1,4
22201105,1610612758,Kings,SAC,Sacramento,240.000000:00,135,49,33,16,12,2,8,20,1,3,4,1,4,5,5,5
22201104,1610612741,Bulls,CHI,Chicago,240.000000:00,124,45,27,18,20,1,5,13,0,2,2,0,1,1,0,1
22201104,1610612757,Trail Blazers,POR,Portland,240.000000:00,96,32,19,13,17,1,4,9,1,1,2,0,3,3,0,3
22201100,1610612745,Rockets,HOU,Houston,240.000000:00,114,40,22,18,13,0,10,21,2,1,3,3,3,6,6,6
22201100,1610612763,Grizzlies,MEM,Memphis,240.000000:00,151,47,36,11,15,0,15,38,5,2,7,0,4,4,3,4
22201106,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,111,51,29,22,13,1,7,16,2,4,6,0,12,10,2,12
22201106,1610612747,Lakers,LAL,Los Angeles,240.000000:00,116,43,28,15,15,0,11,26,4,3,7,2,2,4,3,4
22201101,1610612766,Hornets,CHA,Charlotte,240.000000:00,117,46,22,24,11,0,8,17,3,3,6,0,5,5,3,5
22201101,1610612742,Mavericks,DAL,Dallas,240.000000:00,109,42,31,11,5,0,8,16,0,2,2,0,11,11,2,11
22201102,1610612749,Bucks,MIL,Milwaukee,240.000000:00,144,47,29,18,13,0,4,11,3,2,5,0,4,4,1,4
22201102,1610612762,Jazz,UTA,Utah,240.000000:00,116,52,28,24,18,1,10,23,4,2,6,0,2,2,2,2
22201097,1610612754,Pacers,IND,Indiana,240.000000:00,95,49,26,23,15,1,7,15,4,3,7,0,3,3,2,3
22201097,1610612738,Celtics,BOS,Boston,240.000000:00,120,52,36,16,12,0,13,32,5,5,10,3,9,12,3,12
22201103,1610612755,76ers,PHI,Philadelphia,240.000000:00,112,35,14,21,14,0,6,13,3,3,6,0,4,4,1,4
22201103,1610612744,Warriors,GSW,Golden State,240.000000:00,120,43,29,14,13,1,18,44,0,0,0,3,6,9,6,9
22201094,1610612739,Cavaliers,CLE,Cleveland,240.000000:00,116,44,26,18,7,1,12,30,1,2,3,2,1,3,3,3
22201094,1610612751,Nets,BKN,Brooklyn,240.000000:00,114,48,25,23,8,0,10,22,3,2,5,0,2,2,1,2
22201095,1610612766,Hornets,CHA,Charlotte,240.000000:00,96,38,26,12,13,0,10,22,0,1,1,2,6,8,5,8
22201095,1610612740,Pelicans,NOP,New Orleans,240.000000:00,115,35,17,18,15,2,14,31,3,0,3,2,5,6,3,7
22201096,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,105,57,33,24,10,2,7,15,2,3,5,0,1,1,0,1
22201096,1610612746,Clippers,LAC,LA,240.000000:00,127,40,26,14,12,1,10,22,2,1,3,0,2,1,1,2
22201093,1610612752,Knicks,NYK,New York,240.000000:00,106,56,36,20,13,0,5,11,4,3,7,2,2,4,2,4
22201093,1610612753,Magic,ORL,Orlando,240.000000:00,111,41,21,20,13,0,11,22,1,2,3,0,3,2,1,3
22201087,1610612755,76ers,PHI,Philadelphia,240.000000:00,116,37,26,11,14,1,5,10,3,4,7,3,5,7,3,8
22201087,1610612741,Bulls,CHI,Chicago,240.000000:00,91,44,26,18,11,1,5,10,2,1,3,0,4,4,0,4
22201092,1610612756,Suns,PHX,Phoenix,240.000000:00,111,42,27,15,10,0,18,38,1,2,3,2,3,5,4,5
22201092,1610612747,Lakers,LAL,Los Angeles,240.000000:00,122,49,28,21,10,1,8,17,3,0,3,1,4,5,3,5
22201088,1610612745,Rockets,HOU,Houston,240.000000:00,125,34,17,17,13,0,10,22,3,2,5,3,0,3,2,3
22201088,1610612763,Grizzlies,MEM,Memphis,240.000000:00,130,40,26,14,13,1,9,22,1,5,6,2,2,4,3,4
22201091,1610612757,Trail Blazers,POR,Portland,240.000000:00,127,41,21,20,13,1,10,23,2,0,2,0,11,11,2,11
22201091,1610612762,Jazz,UTA,Utah,240.000000:00,115,42,25,17,14,0,14,35,1,1,2,0,3,3,2,3
22201085,1610612754,Pacers,IND,Indiana,240.000000:00,118,41,24,17,11,2,4,9,3,5,8,1,18,18,5,19
22201085,1610612761,Raptors,TOR,Toronto,240.000000:00,114,45,33,12,19,1,5,11,2,5,7,2,9,11,3,11
22201086,1610612744,Warriors,GSW,Golden State,240.000000:00,127,46,23,23,18,0,13,28,6,3,9,2,8,10,6,10
22201086,1610612742,Mavericks,DAL,Dallas,240.000000:00,125,39,20,19,19,0,6,14,5,5,10,1,5,4,4,6
22201090,1610612737,Hawks,ATL,Atlanta,240.000000:00,124,42,34,8,10,0,17,40,3,3,6,1,15,7,2,16
22201090,1610612750,Timberwolves,MIN,Minnesota,240.000000:00,125,36,24,12,16,0,13,30,4,3,7,0,7,4,2,7
22201084,1610612752,Knicks,NYK,New York,240.000000:00,120,41,27,14,15,0,4,10,2,2,4,0,0,0,0,0
22201084,1610612748,Heat,MIA,Miami,240.000000:00,127,28,12,16,10,3,16,35,1,0,1,0,7,7,1,7
22201089,1610612759,Spurs,SAS,San Antonio,240.000000:00,94,35,19,16,17,0,6,15,2,3,5,2,5,7,4,7
22201089,1610612749,Bucks,MIL,Milwaukee,240.000000:00,130,46,31,15,14,1,11,26,2,3,5,0,11,11,6,11
22201083,1610612743,Nuggets,DEN,Denver,240.000000:00,118,49,33,16,15,0,8,20,4,3,7,1,3,4,4,4
22201083,1610612764,Wizards,WAS,Washington,240.000000:00,104,44,27,17,16,0,10,22,3,0,3,0,3,3,1,3
22201080,1610612759,Spurs,SAS,San Antonio,240.000000:00,84,34,23,11,16,1,8,20,3,5,8,1,3,4,2,4
22201080,1610612740,Pelicans,NOP,New Orleans,240.000000:00,119,36,22,14,21,0,14,28,4,1,5,1,3,4,3,4
22201082,1610612760,Thunder,OKC,Oklahoma City,240.000000:00,101,49,33,16,14,3,11,23,3,1,4,0,7,7,2,7
22201082,1610612746,Clippers,LAC,LA,240.000000:00,100,51,33,18,18,0,5,10,5,3,8,4,1,5,5,5
22201078,1610612765,Pistons,DET,Detroit,240.000000:00,107,45,24,21,11,0,7,18,2,1,3,0,5,4,2,5
22201078,1610612737,Hawks,ATL,Atlanta,240.000000:00,129,46,22,24,8,1,11,26,2,0,2,2,3,5,4,5
22201079,1610612739,Cavaliers,CLE,Cleveland,240.000000:00,115,45,28,17,15,0,13,31,0,1,1,0,4,4,1,4
22201079,1610612751,Nets,BKN,Brooklyn,240.000000:00,109,47,32,15,14,0,8,17,2,0,2,5,3,8,4,8
22201081,1610612738,Celtics,BOS,Boston,240.000000:00,132,45,19,26,15,1,7,16,0,4,4,3,5,8,7,8
22201081,1610612758,Kings,SAC,Sacramento,240.000000:00,109,49,26,23,10,0,7,17,3,0,3,0,2,2,2,2
22201077,1610612764,Wizards,WAS,Washington,240.000000:00,112,40,28,12,15,1,10,22,4,3,7,1,4,5,2,5
22201077,1610612753,Magic,ORL,Orlando,240.000000:00,122,44,25,19,16,2,8,16,2,2,4,4,5,8,4,9
22201074,1610612744,Warriors,GSW,Golden State,240.000000:00,121,44,26,18,14,0,8,19,1,2,3,4,4,8,4,8
22201074,1610612745,Rockets,HOU,Houston,240.000000:00,108,30,11,19,24,0,9,23,3,4,7,1,2,3,1,3
22201076,1610612758,Kings,SAC,Sacramento,240.000000:00,120,43,22,21,14,2,7,17,2,4,6,3,12,15,7,15
22201076,1610612762,Jazz,UTA,Utah,240.000000:00,128,58,32,26,11,1,8,21,3,4,7,2,12,13,4,14
